AFFGEOID,D_Wht_prob,R_Wht_prob,O_Wht_prob,N_Wht_prob,D_His_prob,R_His_prob,O_His_prob,N_His_prob,D_Blk_prob,R_Blk_prob,O_Blk_prob,N_Blk_prob,D_Asn_prob,R_Asn_prob,O_Asn_prob,N_Asn_prob,D_Oth_prob,R_Oth_prob,O_Oth_prob,N_Oth_prob
1500000US361031115033,0.4111567139662035,0.32633545926138613,0.004509008360064678,0.25799881841234573,0.3179033959669578,0.24673474335110543,0.0046140477279368415,0.43074781295400005,0.31013539292978315,0.24080819940496012,0.004575609617541822,0.44448079804771484,0.3121259109636384,0.242490685753275,0.004606215592461188,0.44077718769062546,0.18546043853814592,0.14409706994000218,0.004438069234080765,0.6660044222877711
1500000US361031115041,0.47718063327866017,0.3356750254634562,0.003833951378977308,0.18331038987890624,0.39530587075785456,0.27323504060347553,0.004255268376418666,0.3272038202622513,0.3872876948374406,0.2676233016899307,0.004257165178018928,0.3408318382946096,0.3893103720634861,0.2696460380511296,0.0042652040250612646,0.3367783858603231,0.25501440264075,0.17744954005014577,0.004534753826985942,0.5630013034821184
1500000US361031115061,0.37658741153435643,0.34791227754070736,0.004868697264318557,0.27063161366061783,0.2956896818429234,0.26854019937350665,0.004909145241319093,0.4308609735422508,0.2888143243809338,0.2623829200690537,0.004862489225260854,0.4439402663247517,0.29060817202071915,0.2646736746113574,0.004886703769543897,0.43983144959837966,0.1719957634750104,0.15616923544774458,0.004703337045207354,0.6671316640320376
1500000US361031115062,0.7580597155070821,0.10283443021024424,0.0008077978864916268,0.1382980563961821,0.669788529151859,0.08897091454205075,0.000893003021966755,0.24034755328412344,0.6661237053284506,0.0873470305601817,0.0008780560400230602,0.24565120807134475,0.6651724862023526,0.0882893354437377,0.000891278041439207,0.24564690031247055,0.4789834379235874,0.0632253782413172,0.0010507793034340378,0.4567404045316614
1500000US361031115071,0.4533868249872302,0.21489924135936456,0.006226663909507786,0.32548726974389747,0.3482042398406638,0.16057984807396225,0.005922198023102835,0.485293714062271,0.3396621559429471,0.1563307515592821,0.005855181068849664,0.4981519114289213,0.3419114492242709,0.15784819961395416,0.005904480246238827,0.494335870915536,0.19281852425702664,0.08783562066568218,0.005410728806092677,0.7139351262711984
1500000US361031115072,0.6780580310407335,0.07618381225039206,0.0026322372768096854,0.2431259194320647,0.5507277922770187,0.06047795128165673,0.00264936484296469,0.3861448915983599,0.5412382458283483,0.05925796690539731,0.0026202682370708576,0.39688351902918356,0.5423852949990919,0.05973175460285177,0.0026506067313716132,0.3952323436666847,0.335954507280093,0.036554610448509606,0.002654538253325104,0.6248363440180723
1500000US361031115081,0.45949545751492105,0.25205731302979856,0.005145067568802908,0.28330216188647767,0.36474753957682526,0.18919938884631374,0.005004029932482497,0.4410490416443786,0.3563627819427844,0.1846003071088668,0.004968567537129855,0.454068343411219,0.358823825027101,0.18634392102644406,0.005014966562205974,0.44981728738424903,0.21267877545530572,0.10753371509659815,0.004766585188160046,0.6750209242599361
1500000US361031115082,0.717383077250641,0.12767485431102374,0.0025888046433541374,0.15235326379498101,0.627203494633848,0.1073284277878015,0.00281848970411017,0.26264958787424036,0.6206115943791395,0.10569022011968031,0.002800423395108329,0.27089776210607186,0.6209588782173286,0.1064856019954601,0.0028353377708552822,0.2697201820163561,0.4389277790620604,0.07382812410331745,0.003222796025504483,0.4840213008091177
1500000US361031116011,0.3902932057362138,0.3285999029085044,0.007111273869544974,0.27399561748573675,0.29399802849408907,0.23943520713852492,0.007092711532278875,0.4594740528351071,0.2858195055511004,0.2326702905580065,0.00702933623893236,0.4744808676519607,0.2884525914996983,0.23488210636045467,0.007054619364371855,0.4696106827754753,0.16605633984867796,0.13737457447961976,0.0066529135609857725,0.6899161721107164
1500000US361031116012,0.4103775912616003,0.3761599409395392,0.0067191753216912274,0.20674329247716933,0.3257209511772885,0.2931763013224519,0.007279385369361742,0.3738233621308978,0.31821342193469077,0.286396705351198,0.007255990751988586,0.38813388196212256,0.3204763997629514,0.288554257582413,0.00727507839752339,0.3836942642571122,0.2000242960452878,0.18230869274497222,0.007411329254377038,0.6102556819553628
